id,title,realtime_start,realtime_end,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity
A038RC1,"Compensation of Employees, Received: Supplements to Wages and Salaries",2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:32-06:00,7
A041RC1,Proprietors' income with inventory valuation and capital consumption adjustments,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:30-06:00,11
A045RC1,Proprietors' income with inventory valuation and capital consumption adjustments: Nonfarm,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:34-06:00,5
A048RC1,Rental income of persons with capital consumption adjustment,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:28-06:00,11
A061RC1,"Contributions for government social insurance, domestic",2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:32-06:00,8
A063RC1,Personal current transfer receipts: Government social benefits to persons,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:26-06:00,18
A068RC1,Personal outlays,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:26-06:00,21
A132RC1,"Compensation of Employees, Received: Wage and Salary Disbursements: Private Industries",2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:27-06:00,13
A229RC0,Disposable Personal Income: Per capita: Current dollars,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Dollars,$,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:20-06:00,39
A229RX0,Real Disposable Personal Income: Per Capita,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Chained 2017 Dollars,Chn. 2017 $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:14-06:00,65
A576RC1,"Compensation of Employees, Received: Wage and Salary Disbursements",2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:19-06:00,46
AAA,Moody's Seasoned Aaa Corporate Bond Yield,2/4/2024,2/4/2024,1/1/1919,1/1/2024,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-02-01 10:16:02-06:00,80
AAA10YM,Moody's Seasoned Aaa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,2/4/2024,2/4/2024,4/1/1953,1/1/2024,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-02-01 16:01:10-06:00,20
AAAFFM,Moody's Seasoned Aaa Corporate Bond Minus Federal Funds Rate,2/4/2024,2/4/2024,7/1/1954,1/1/2024,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-02-01 16:01:11-06:00,8
AHECONS,"Average Hourly Earnings of Production and Nonsupervisory Employees, Construction",2/4/2024,2/4/2024,1/1/1947,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Not Seasonally Adjusted,NSA,2024-02-02 07:50:17-06:00,6
AHEMAN,"Average Hourly Earnings of Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Dollars per Hour,$ per Hour,Not Seasonally Adjusted,NSA,2024-02-02 07:50:12-06:00,8
ARGCCUSMA02STM,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Argentina,2/4/2024,2/4/2024,1/1/1960,11/1/2023,Monthly,M,Argentine Peso,Argentine Peso,Not Seasonally Adjusted,NSA,2024-01-12 14:29:03-06:00,33
AWHMAN,"Average Weekly Hours of Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1939,1/1/2024,Monthly,M,Hours,Hours,Seasonally Adjusted,SA,2024-02-02 07:51:04-06:00,59
AWOTMAN,"Average Weekly Overtime Hours of Production and Nonsupervisory Employees, Manufacturing",2/4/2024,2/4/2024,1/1/1956,1/1/2024,Monthly,M,Hours,Hours,Seasonally Adjusted,SA,2024-02-02 07:51:05-06:00,46
B039RC1M027SBEA,Compensation of employees: Supplements to wages and salaries: Employer contributions for government social insurance,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:35-06:00,4
B040RC1M027SBEA,Compensation of employees: Supplements to wages and salaries: Employer contributions for employee pension and insurance funds,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:31-06:00,13
B042RC1,Proprietors' income with inventory valuation and capital consumption adjustments: Farm,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:32-06:00,4
B069RC1,Personal interest payments,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:18-06:00,50
B202RC1,"Compensation of employees, received: Wage and salary disbursements: Government",2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:32-06:00,5
B931RC1,"Personal current transfer receipts: Other current transfer receipts, from business (net)",2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Seasonally Adjusted Annual Rate,SAAR,2024-01-26 09:20:37-06:00,5
BAA,Moody's Seasoned Baa Corporate Bond Yield,2/4/2024,2/4/2024,1/1/1919,1/1/2024,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-02-01 10:16:03-06:00,68
BAA10YM,Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity,2/4/2024,2/4/2024,4/1/1953,1/1/2024,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-02-01 16:01:08-06:00,35
BAAFFM,Moody's Seasoned Baa Corporate Bond Minus Federal Funds Rate,2/4/2024,2/4/2024,7/1/1954,1/1/2024,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2024-02-01 16:01:10-06:00,20
BOGMBASE,Monetary Base; Total,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-01-23 12:03:07-06:00,76
BOGMBBM,Monetary Base; Reserve Balances,2/4/2024,2/4/2024,1/1/1959,12/1/2023,Monthly,M,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2024-01-23 12:03:09-06:00,50
BORROW,Total Borrowings from the Federal Reserve,2/4/2024,2/4/2024,1/1/1919,12/1/2023,Monthly,M,Billions of Dollars,Bil. of $,Not Seasonally Adjusted,NSA,2024-01-23 12:03:09-06:00,50
BSCICP02USM460S,Business Tendency Surveys (Manufacturing): Confidence Indicators: Composite Indicators: National Indicator for United States,2/4/2024,2/4/2024,1/1/1960,12/1/2023,Monthly,M,Percent,%,Seasonally Adjusted,SA,2024-01-12 14:13:09-06:00,31
BSCICP03USM665S,Business Tendency Surveys (Manufacturing): Confidence Indicators: Composite Indicators: OECD Indicator for United States,2/4/2024,2/4/2024,1/1/1960,11/1/2023,Monthly,M,Normalised (Normal=100),Normalised (Normal=100),Seasonally Adjusted,SA,2023-12-12 14:48:04-06:00,45
BUSLOANS,"Commercial and Industrial Loans, All Commercial Banks",2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Billions of U.S. Dollars,Bil. of U.S. $,Seasonally Adjusted,SA,2024-02-02 15:33:02-06:00,68
BUSLOANSNSA,"Commercial and Industrial Loans, All Commercial Banks",2/4/2024,2/4/2024,1/1/1947,12/1/2023,Monthly,M,Billions of U.S. Dollars,Bil. of U.S. $,Not Seasonally Adjusted,NSA,2024-02-02 15:33:09-06:00,12
CANAN,All Employees: Total Nonfarm in California,2/4/2024,2/4/2024,1/1/1939,12/1/2023,Monthly,M,Thousands of Persons,Thous. of Persons,Not Seasonally Adjusted,NSA,2024-01-24 02:57:11-06:00,3
