,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
ExtraTreesClassifier,0.7983,0.1272,0.74,0.1281,0.8867,0.174,0.9609,0.0268,0.9722,0.0507,1
XGBClassifier,0.7099,0.1642,0.66,0.201,0.8288,0.1882,0.9466,0.0309,0.9662,0.04,1
GradientBoostingClassifier,0.6879,0.1383,0.7,0.2049,0.7356,0.1889,0.9363,0.0283,0.9518,0.0453,1
BaggingClassifier,0.6833,0.1741,0.62,0.1887,0.7833,0.1905,0.9425,0.0314,0.9539,0.0453,1
RandomForestClassifier,0.6292,0.1492,0.52,0.16,0.86,0.2279,0.9383,0.0247,0.9799,0.0281,1
BernoulliNB,0.5267,0.1272,0.68,0.16,0.4477,0.1447,0.8685,0.0551,0.9025,0.0433,1
LogisticRegression,0.4506,0.1146,0.78,0.1661,0.3279,0.1137,0.7946,0.0676,0.8487,0.0956,1
DecisionTreeClassifier,0.4143,0.1422,0.42,0.14,0.4467,0.2369,0.8745,0.039,0.6913,0.0995,1
KNeighborsClassifier,0.3774,0.2278,0.28,0.1833,0.65,0.3686,0.9137,0.0244,0.9058,0.0812,1
AdaBoostClassifier,0.3,0.037,0.86,0.0917,0.1828,0.0273,0.5787,0.0877,0.7913,0.0664,1
SVC,0.2293,0.066,0.66,0.22,0.1394,0.0401,0.546,0.0737,0.6134,0.1418,1
GaussianNB,0.2131,0.0771,0.7,0.272,0.1262,0.0459,0.5264,0.1433,0.5699,0.092,1
GaussianProcessClassifier,0.144,0.1935,0.1,0.1342,0.2833,0.3948,0.887,0.0307,0.5,0.0,1
