,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
XGBClassifier,0.6368,0.2677,0.54,0.3069,0.9333,0.1528,0.947,0.0336,0.9682,0.0318,1
GradientBoostingClassifier,0.5667,0.1484,0.5467,0.1887,0.6225,0.1445,0.913,0.0227,0.8723,0.1068,1
RandomForestClassifier,0.4772,0.1455,0.36,0.1348,0.81,0.2343,0.9168,0.0211,0.897,0.0682,1
AdaBoostClassifier,0.4625,0.2354,0.3767,0.2033,0.6733,0.3282,0.9092,0.0359,0.7623,0.0826,1
GaussianProcessClassifier,0.4347,0.1656,0.3967,0.1882,0.5721,0.261,0.8922,0.0309,0.6845,0.1611,1
LogisticRegression,0.4167,0.1054,0.7533,0.1634,0.2922,0.0812,0.7618,0.0696,0.7918,0.0924,1
BaggingClassifier,0.379,0.2684,0.2767,0.2017,0.625,0.4366,0.9149,0.0257,0.8126,0.1265,1
SVC,0.3764,0.1996,0.2767,0.155,0.6952,0.3453,0.9036,0.0342,0.7928,0.0953,1
ExtraTreesClassifier,0.3662,0.2522,0.2767,0.2017,0.62,0.4331,0.9131,0.0209,0.9089,0.0501,1
BernoulliNB,0.3312,0.1535,0.4133,0.2291,0.2875,0.1323,0.8242,0.0429,0.7795,0.0711,1
DecisionTreeClassifier,0.2977,0.162,0.26,0.1569,0.3858,0.2014,0.8695,0.0334,0.6452,0.1145,1
KNeighborsClassifier,0.1952,0.1685,0.14,0.1272,0.3667,0.3317,0.8828,0.0249,0.7977,0.1192,1
GaussianNB,0.1565,0.1619,0.2,0.2477,0.1944,0.2038,0.8033,0.1292,0.7258,0.0998,1
