,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
GradientBoostingClassifier,0.6183,0.1833,0.6833,0.2167,0.6,0.2261,0.8968,0.0671,0.9373,0.0749,1
XGBClassifier,0.4738,0.2579,0.3833,0.2115,0.6833,0.4113,0.9024,0.052,0.9549,0.0517,1
BernoulliNB,0.4711,0.3218,0.5,0.3651,0.5,0.3727,0.8866,0.0673,0.8995,0.126,1
DecisionTreeClassifier,0.2976,0.301,0.2833,0.2892,0.35,0.3905,0.8918,0.0339,0.873,0.1699,1
GaussianNB,0.2166,0.032,1.0,0.0,0.1218,0.0204,0.1447,0.0291,0.6118,0.2185,1
RandomForestClassifier,0.1667,0.2687,0.1333,0.2082,0.2333,0.3958,0.8868,0.0423,0.9706,0.0404,1
GaussianProcessClassifier,0.1333,0.2667,0.1,0.2,0.2,0.4,0.8813,0.0456,0.5,0.0,1
LogisticRegression,0.05,0.15,0.0333,0.1,0.1,0.3,0.8761,0.0321,0.9127,0.0934,1
SVC,0.04,0.12,0.0333,0.1,0.05,0.15,0.8813,0.0205,0.9363,0.0817,1
AdaBoostClassifier,0.0333,0.1,0.0333,0.1,0.0333,0.1,0.8763,0.031,0.9456,0.0646,1
BaggingClassifier,0.0333,0.1,0.0333,0.1,0.0333,0.1,0.8763,0.031,0.949,0.064,1
KNeighborsClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8813,0.0205,0.9,0.0852,1
ExtraTreesClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8813,0.0205,0.948,0.051,1
