,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
LogisticRegression,0.76,0.2085,0.8667,0.2082,0.7183,0.2591,0.9232,0.0732,0.9529,0.0653,1
XGBClassifier,0.6567,0.2959,0.6167,0.3078,0.7567,0.336,0.9287,0.0641,0.95,0.0599,1
GradientBoostingClassifier,0.5005,0.3103,0.5667,0.359,0.4567,0.2872,0.8924,0.0604,0.8902,0.1397,1
GaussianNB,0.4738,0.2425,0.7,0.3399,0.3751,0.2102,0.82,0.1085,0.8314,0.1612,1
AdaBoostClassifier,0.4733,0.3617,0.45,0.3578,0.54,0.4176,0.9071,0.0632,0.8922,0.0901,1
BernoulliNB,0.4721,0.2556,0.45,0.2794,0.56,0.3499,0.8968,0.0388,0.9225,0.0619,1
DecisionTreeClassifier,0.3476,0.3421,0.3333,0.3249,0.4,0.4213,0.8824,0.0768,0.9206,0.0861,1
RandomForestClassifier,0.3167,0.3532,0.2667,0.318,0.4333,0.4726,0.9024,0.052,0.9676,0.0411,1
GaussianProcessClassifier,0.3,0.3055,0.2333,0.2494,0.4667,0.4761,0.9068,0.0204,0.5255,0.154,1
SVC,0.14,0.2279,0.1167,0.1833,0.1833,0.3202,0.8711,0.0461,0.8598,0.1175,1
BaggingClassifier,0.1,0.2134,0.0833,0.1708,0.1333,0.3055,0.8766,0.0441,0.9608,0.0409,1
ExtraTreesClassifier,0.09,0.1814,0.0667,0.1333,0.15,0.3202,0.8863,0.0182,0.9775,0.031,1
KNeighborsClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8813,0.0205,0.9539,0.0482,1
