,precision,recall,f1,roc_auc,accuracy,stage
LogisticRegression,0.7143,0.7692,0.7407,0.9594,0.9333,1
SVC,0.8095,0.6538,0.7234,0.9316,0.9381,1
BernoulliNB,0.7059,0.4615,0.5581,0.8767,0.9095,1
XGBClassifier,0.7,0.2692,0.3889,0.9235,0.8952,1
GradientBoostingClassifier,0.6667,0.1538,0.25,0.8823,0.8857,1
DecisionTreeClassifier,0.2222,0.1538,0.1818,0.6319,0.8286,1
GaussianProcessClassifier,0.3,0.1154,0.1667,0.6049,0.8571,1
AdaBoostClassifier,1.0,0.0769,0.1429,0.8335,0.8857,1
RandomForestClassifier,1.0,0.0385,0.0741,0.8798,0.881,1
BaggingClassifier,1.0,0.0385,0.0741,0.8446,0.881,1
KNeighborsClassifier,0.0,0.0,0.0,0.7782,0.8762,1
GaussianNB,0.0,0.0,0.0,0.9457,0.8762,1
ExtraTreesClassifier,0.0,0.0,0.0,0.8411,0.8762,1
