,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
ExtraTreesClassifier,0.9255,0.0693,0.881,0.1086,0.9833,0.05,0.9539,0.0423,0.9908,0.0139,1
RandomForestClassifier,0.9006,0.0847,0.85,0.1176,0.9657,0.0698,0.9384,0.0503,0.9874,0.0174,1
GradientBoostingClassifier,0.8795,0.0718,0.9071,0.1067,0.8613,0.0785,0.9171,0.0469,0.9695,0.0416,1
XGBClassifier,0.8686,0.0932,0.819,0.1287,0.9407,0.0937,0.9176,0.0568,0.9823,0.0217,1
DecisionTreeClassifier,0.8628,0.109,0.8024,0.1554,0.9583,0.0854,0.9176,0.0615,0.9583,0.0607,1
BaggingClassifier,0.8579,0.1342,0.7905,0.1813,0.9583,0.0854,0.9182,0.0729,0.9779,0.0256,1
AdaBoostClassifier,0.8253,0.1063,0.7429,0.1494,0.9514,0.099,0.8971,0.0644,0.9679,0.037,1
LogisticRegression,0.6888,0.1443,0.6333,0.1851,0.7992,0.1878,0.8103,0.0957,0.8822,0.0878,1
BernoulliNB,0.6641,0.1389,0.7286,0.1747,0.6171,0.1226,0.7521,0.1066,0.8097,0.1126,1
SVC,0.5644,0.2367,0.4357,0.2054,0.8333,0.3073,0.7942,0.0909,0.8937,0.0851,1
GaussianNB,0.5168,0.0432,0.9262,0.0979,0.3598,0.0339,0.4197,0.0542,0.6118,0.1734,1
KNeighborsClassifier,0.479,0.2073,0.3714,0.1763,0.7,0.2843,0.7521,0.0734,0.853,0.0773,1
GaussianProcessClassifier,0.3187,0.1985,0.2476,0.1594,0.4833,0.3091,0.6845,0.065,0.5,0.0,1
