,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
SVC,0.5297,0.122,0.7,0.15,0.4437,0.1421,0.7524,0.0923,0.8044,0.0824,1
KNeighborsClassifier,0.5162,0.2239,0.425,0.1953,0.7167,0.3253,0.8571,0.0563,0.7956,0.1014,1
LogisticRegression,0.4381,0.135,0.65,0.2291,0.3449,0.1124,0.6857,0.0957,0.7147,0.0787,1
BernoulliNB,0.3883,0.071,0.375,0.125,0.4783,0.1912,0.781,0.0436,0.7103,0.0738,1
GradientBoostingClassifier,0.3685,0.1103,0.375,0.125,0.3952,0.1463,0.7524,0.0732,0.6316,0.1517,1
XGBClassifier,0.3586,0.2644,0.275,0.2077,0.5833,0.4425,0.819,0.0846,0.8015,0.0898,1
DecisionTreeClassifier,0.2992,0.166,0.3,0.15,0.3244,0.2116,0.7143,0.1043,0.5559,0.0917,1
GaussianProcessClassifier,0.2933,0.2112,0.2,0.15,0.6,0.4359,0.8333,0.0384,0.7103,0.1395,1
RandomForestClassifier,0.2886,0.1491,0.2,0.1,0.5833,0.3819,0.8238,0.0305,0.8059,0.0802,1
AdaBoostClassifier,0.2819,0.2082,0.2,0.15,0.5333,0.4203,0.8238,0.0429,0.8074,0.0854,1
BaggingClassifier,0.26,0.1724,0.175,0.1146,0.55,0.4153,0.8238,0.0305,0.8397,0.0793,1
ExtraTreesClassifier,0.2333,0.1915,0.15,0.1225,0.55,0.4717,0.8333,0.0238,0.8551,0.0735,1
GaussianNB,0.0,0.0,0.0,0.0,0.0,0.0,0.8095,0.0,0.6132,0.1692,1
