,precision,recall,f1,roc_auc,accuracy,stage
AdaBoostClassifier,0.875,0.8077,0.84,0.8957,0.9619,2
KNeighborsClassifier,0.8696,0.7692,0.8163,0.8761,0.9571,2
GaussianProcessClassifier,0.8696,0.7692,0.8163,0.976,0.9571,2
GaussianNB,0.8571,0.6923,0.766,0.9787,0.9476,2
SVC,0.8947,0.6538,0.7556,0.9785,0.9476,2
RandomForestClassifier,0.85,0.6538,0.7391,0.9431,0.9429,2
ExtraTreesClassifier,0.85,0.6538,0.7391,0.979,0.9429,2
DecisionTreeClassifier,0.8333,0.5769,0.6818,0.7803,0.9333,2
GradientBoostingClassifier,0.8333,0.5769,0.6818,0.9425,0.9333,2
BaggingClassifier,0.8333,0.5769,0.6818,0.8926,0.9333,2
LogisticRegression,0.4906,1.0,0.6582,0.9772,0.8714,2
BernoulliNB,0.3871,0.9231,0.5455,0.9396,0.8095,2
XGBClassifier,0.6471,0.4231,0.5116,0.9561,0.9,2
