,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
SVC,0.7774,0.226,0.9167,0.1708,0.7042,0.2741,0.9182,0.0887,0.9451,0.0532,2
LogisticRegression,0.659,0.2209,0.9167,0.1708,0.5477,0.2636,0.8611,0.0977,0.9422,0.0561,2
AdaBoostClassifier,0.6067,0.3139,0.6667,0.3249,0.5983,0.3541,0.8818,0.0947,0.7892,0.1862,2
ExtraTreesClassifier,0.6067,0.3032,0.5833,0.3184,0.6833,0.3532,0.9126,0.0684,0.9319,0.0643,2
GaussianNB,0.5333,0.3317,0.4833,0.3287,0.65,0.3976,0.9126,0.0602,0.9373,0.0567,2
BaggingClassifier,0.5324,0.3484,0.5333,0.3636,0.5983,0.4188,0.8868,0.0876,0.8039,0.1457,2
RandomForestClassifier,0.5105,0.2726,0.4833,0.2833,0.6333,0.4,0.8868,0.0768,0.8794,0.1163,2
GradientBoostingClassifier,0.505,0.3183,0.5333,0.3232,0.55,0.4025,0.8808,0.0774,0.8417,0.1108,2
GaussianProcessClassifier,0.4933,0.3116,0.45,0.2794,0.6,0.4163,0.8968,0.0646,0.9196,0.0634,2
KNeighborsClassifier,0.48,0.2794,0.45,0.2794,0.6083,0.4151,0.8816,0.075,0.9025,0.1083,2
XGBClassifier,0.4724,0.2747,0.4167,0.2267,0.6083,0.4151,0.8761,0.08,0.9157,0.0746,2
DecisionTreeClassifier,0.3517,0.3325,0.3333,0.3249,0.42,0.428,0.8608,0.0847,0.7392,0.1631,2
BernoulliNB,0.0,0.0,0.0,0.0,0.0,0.0,0.8813,0.0205,0.6074,0.1544,2
