,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
GaussianProcessClassifier,0.9909,0.0273,0.9833,0.05,1.0,0.0,0.9947,0.0158,0.9962,0.0115,2
ExtraTreesClassifier,0.9909,0.0273,0.9833,0.05,1.0,0.0,0.9947,0.0158,0.9974,0.0077,2
SVC,0.9833,0.05,0.9833,0.05,0.9833,0.05,0.9895,0.0316,0.9974,0.0077,2
KNeighborsClassifier,0.9832,0.0337,0.969,0.0621,1.0,0.0,0.9897,0.0205,0.991,0.0269,2
LogisticRegression,0.9776,0.0348,0.9833,0.05,0.975,0.05,0.9845,0.0237,0.9987,0.0038,2
RandomForestClassifier,0.9752,0.0385,0.9667,0.0667,0.9875,0.0375,0.9845,0.0237,0.9974,0.0077,2
GradientBoostingClassifier,0.9685,0.0394,0.9667,0.0667,0.975,0.05,0.9792,0.0255,0.988,0.0251,2
XGBClassifier,0.9685,0.0394,0.9667,0.0667,0.975,0.05,0.9792,0.0255,0.9974,0.0077,2
GaussianNB,0.9675,0.0404,0.9524,0.073,0.9875,0.0375,0.9792,0.0255,0.9987,0.0038,2
BaggingClassifier,0.9608,0.04,0.9524,0.073,0.975,0.05,0.9739,0.0261,0.986,0.0266,2
AdaBoostClassifier,0.9541,0.0384,0.9524,0.073,0.9625,0.0573,0.9689,0.0254,0.9643,0.0331,2
DecisionTreeClassifier,0.9527,0.0397,0.95,0.0764,0.9625,0.0573,0.9689,0.0254,0.9631,0.0346,2
BernoulliNB,0.9402,0.0742,0.9667,0.0667,0.9214,0.1066,0.9582,0.0515,0.9897,0.0235,2
