,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
ExtraTreesClassifier,0.768,0.0964,0.6867,0.1507,0.9098,0.1142,0.9565,0.017,0.9777,0.0324,1
XGBClassifier,0.7314,0.1056,0.6667,0.1726,0.8667,0.1404,0.9489,0.017,0.9741,0.0357,1
GradientBoostingClassifier,0.6503,0.1792,0.6133,0.1979,0.7408,0.2431,0.9282,0.0394,0.964,0.0484,1
BaggingClassifier,0.6442,0.1342,0.5833,0.1765,0.7845,0.193,0.932,0.0255,0.9591,0.0419,1
RandomForestClassifier,0.6252,0.2129,0.5333,0.249,0.8798,0.1665,0.9395,0.0264,0.9693,0.0441,1
KNeighborsClassifier,0.5905,0.1964,0.48,0.1784,0.8017,0.2627,0.928,0.035,0.9272,0.0561,1
BernoulliNB,0.5546,0.1455,0.75,0.1765,0.4482,0.1431,0.8657,0.0447,0.9052,0.0652,1
DecisionTreeClassifier,0.5525,0.1582,0.53,0.1847,0.6068,0.1992,0.9092,0.0268,0.7589,0.1045,1
LogisticRegression,0.495,0.0923,0.8033,0.1354,0.3617,0.0795,0.8184,0.0385,0.8827,0.0744,1
GaussianProcessClassifier,0.4175,0.1358,0.33,0.1509,0.6833,0.1856,0.9055,0.0187,0.5,0.0,1
AdaBoostClassifier,0.3421,0.0563,0.9267,0.0904,0.211,0.0409,0.5993,0.0885,0.8484,0.0915,1
SVC,0.2685,0.0587,0.6533,0.1593,0.17,0.0384,0.6106,0.0541,0.6688,0.0621,1
GaussianNB,0.2371,0.0478,0.8267,0.1062,0.139,0.0312,0.4064,0.0904,0.7848,0.0784,1
