,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
GradientBoostingClassifier,0.7619,0.2423,0.73,0.3053,0.924,0.0964,0.9621,0.0294,0.9531,0.0598,1
XGBClassifier,0.7047,0.2392,0.61,0.2486,0.8967,0.1716,0.9527,0.0309,0.9358,0.0721,1
RandomForestClassifier,0.5906,0.1726,0.4633,0.1676,0.89,0.1814,0.9338,0.0228,0.8668,0.1259,1
ExtraTreesClassifier,0.5849,0.1821,0.4767,0.2135,0.88,0.1688,0.9338,0.0212,0.9039,0.0742,1
DecisionTreeClassifier,0.5041,0.2444,0.48,0.2553,0.5819,0.2526,0.9036,0.0458,0.8074,0.1457,1
BaggingClassifier,0.4588,0.2514,0.3767,0.2422,0.6381,0.2972,0.9149,0.0308,0.7984,0.136,1
GaussianProcessClassifier,0.4573,0.2288,0.4433,0.2552,0.4998,0.2132,0.8941,0.039,0.6649,0.1797,1
LogisticRegression,0.4063,0.1182,0.67,0.2248,0.2963,0.0827,0.7921,0.0394,0.7813,0.0835,1
BernoulliNB,0.3737,0.1277,0.6667,0.2385,0.2619,0.0917,0.7579,0.0481,0.7852,0.0824,1
SVC,0.2649,0.1079,0.6133,0.2172,0.1706,0.0755,0.6103,0.0874,0.6429,0.1295,1
AdaBoostClassifier,0.2086,0.023,0.9133,0.1147,0.1179,0.0132,0.2421,0.0596,0.6906,0.1118,1
GaussianNB,0.1837,0.1954,0.19,0.2521,0.2727,0.3337,0.847,0.0765,0.7761,0.106,1
KNeighborsClassifier,0.1647,0.1711,0.1067,0.1153,0.4167,0.4425,0.8904,0.0234,0.7294,0.1053,1
