,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
XGBClassifier,0.66,0.1604,0.55,0.1979,0.9167,0.1708,0.9333,0.0316,0.9776,0.0302,1
DecisionTreeClassifier,0.6133,0.3078,0.5333,0.3317,0.8,0.3317,0.9286,0.0573,0.8872,0.1216,1
BernoulliNB,0.5743,0.2628,0.6167,0.3167,0.6067,0.313,0.8905,0.0675,0.9055,0.1331,1
GradientBoostingClassifier,0.41,0.2765,0.3833,0.2794,0.4833,0.3287,0.8714,0.0524,0.8081,0.1919,1
RandomForestClassifier,0.2467,0.3124,0.1833,0.2409,0.4,0.4899,0.8905,0.0372,0.9541,0.0554,1
GaussianNB,0.2424,0.0627,0.9333,0.2,0.1401,0.0383,0.2905,0.0619,0.6366,0.2067,1
BaggingClassifier,0.15,0.2291,0.1,0.1528,0.3,0.4583,0.8857,0.0233,0.9327,0.072,1
AdaBoostClassifier,0.13,0.2685,0.1,0.2134,0.2,0.4,0.8857,0.0316,0.9318,0.0638,1
LogisticRegression,0.1,0.2,0.0667,0.1333,0.2,0.4,0.8857,0.0233,0.8747,0.1572,1
SVC,0.1,0.2,0.0667,0.1333,0.2,0.4,0.8857,0.0233,0.8544,0.1919,1
ExtraTreesClassifier,0.1,0.2,0.0667,0.1333,0.2,0.4,0.8857,0.0233,0.9286,0.0728,1
GaussianProcessClassifier,0.05,0.15,0.0333,0.1,0.1,0.3,0.8714,0.0305,0.5,0.0,1
KNeighborsClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8762,0.0233,0.8495,0.0918,1
