,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
AdaBoostClassifier,0.6071,0.1279,0.55,0.1979,0.7833,0.2242,0.9143,0.0356,0.9464,0.0529,1
LogisticRegression,0.5548,0.1776,0.7,0.2667,0.5017,0.2163,0.8619,0.0619,0.8973,0.0679,1
BernoulliNB,0.55,0.2232,0.5,0.2582,0.7,0.3055,0.8905,0.0798,0.8652,0.133,1
XGBClassifier,0.54,0.2245,0.4667,0.1944,0.7,0.3317,0.9143,0.0286,0.9644,0.0521,1
GaussianNB,0.4594,0.264,0.5667,0.359,0.4136,0.2332,0.8381,0.0933,0.7498,0.2603,1
RandomForestClassifier,0.4233,0.3559,0.35,0.293,0.55,0.4717,0.9143,0.0415,0.957,0.0414,1
SVC,0.3167,0.263,0.2333,0.2,0.55,0.4717,0.9,0.0256,0.8888,0.0935,1
GradientBoostingClassifier,0.3,0.2683,0.25,0.2267,0.4,0.3742,0.8429,0.0769,0.7923,0.1247,1
GaussianProcessClassifier,0.2967,0.3089,0.25,0.2713,0.4167,0.4425,0.8905,0.0372,0.5475,0.067,1
DecisionTreeClassifier,0.2752,0.2538,0.35,0.3287,0.2333,0.223,0.8381,0.0571,0.7844,0.1169,1
BaggingClassifier,0.2467,0.3124,0.1833,0.2409,0.4,0.4899,0.8952,0.0356,0.952,0.0569,1
ExtraTreesClassifier,0.15,0.2291,0.1,0.1528,0.3,0.4583,0.8905,0.0218,0.9615,0.053,1
KNeighborsClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8762,0.0233,0.9237,0.0988,1
