,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
SVC,0.645,0.2614,0.8,0.256,0.6169,0.3122,0.8762,0.1048,0.9246,0.0688,1
AdaBoostClassifier,0.4997,0.1317,0.9167,0.1708,0.3507,0.115,0.7619,0.1021,0.835,0.0877,1
LogisticRegression,0.4839,0.1568,0.9667,0.1,0.3343,0.1347,0.7,0.1678,0.8376,0.1551,1
BernoulliNB,0.4831,0.2151,0.8167,0.3202,0.3515,0.1814,0.8,0.0819,0.869,0.1338,1
XGBClassifier,0.4133,0.3067,0.3833,0.2693,0.4833,0.3976,0.8905,0.0429,0.821,0.1635,1
GaussianNB,0.3863,0.2734,0.5333,0.3317,0.3686,0.3387,0.7714,0.1488,0.7786,0.2199,1
DecisionTreeClassifier,0.36,0.3492,0.3333,0.3249,0.4167,0.4167,0.8714,0.0769,0.6386,0.1754,1
KNeighborsClassifier,0.3367,0.2934,0.2667,0.238,0.5,0.4472,0.8857,0.0486,0.8198,0.1214,1
GradientBoostingClassifier,0.3117,0.2271,0.2667,0.1856,0.4533,0.3995,0.8667,0.0595,0.7955,0.1541,1
ExtraTreesClassifier,0.2833,0.2892,0.2333,0.2494,0.4167,0.4425,0.8952,0.0286,0.8794,0.0934,1
RandomForestClassifier,0.2733,0.2832,0.2333,0.2494,0.4,0.4422,0.8857,0.0316,0.852,0.1214,1
BaggingClassifier,0.24,0.2529,0.2167,0.2363,0.3417,0.3987,0.8714,0.0372,0.6784,0.218,1
GaussianProcessClassifier,0.05,0.15,0.0333,0.1,0.1,0.3,0.8619,0.0396,0.6144,0.1844,1
