,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
ExtraTreesClassifier,0.6948,0.1429,0.6,0.1658,0.8833,0.1453,0.9048,0.0369,0.9382,0.043,1
XGBClassifier,0.555,0.1735,0.45,0.1871,0.8083,0.2043,0.8714,0.0429,0.9132,0.0438,1
RandomForestClassifier,0.5124,0.2412,0.4,0.2291,0.8333,0.3073,0.8762,0.0436,0.9294,0.0573,1
GradientBoostingClassifier,0.4404,0.2415,0.45,0.2449,0.4981,0.3246,0.7857,0.0958,0.8309,0.1102,1
GaussianNB,0.3634,0.0291,0.975,0.075,0.2235,0.0192,0.3476,0.0565,0.6559,0.1217,1
BaggingClassifier,0.3562,0.2791,0.275,0.2358,0.5667,0.4163,0.8429,0.0524,0.8985,0.0536,1
AdaBoostClassifier,0.2933,0.2112,0.2,0.15,0.6,0.4359,0.8381,0.0316,0.875,0.0729,1
DecisionTreeClassifier,0.259,0.2136,0.25,0.2236,0.3225,0.3031,0.7571,0.0939,0.6272,0.1467,1
KNeighborsClassifier,0.1867,0.1881,0.125,0.125,0.4,0.4359,0.8238,0.0218,0.7272,0.0928,1
BernoulliNB,0.1429,0.1429,0.125,0.125,0.1667,0.1667,0.7524,0.0415,0.6868,0.1435,1
LogisticRegression,0.1019,0.1578,0.075,0.1146,0.1833,0.3202,0.7857,0.0384,0.6926,0.1092,1
GaussianProcessClassifier,0.09,0.1428,0.075,0.1146,0.15,0.3,0.7524,0.07,0.5,0.0,1
SVC,0.0,0.0,0.0,0.0,0.0,0.0,0.8095,0.0,0.6941,0.08,1
