,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
XGBClassifier,0.519,0.2196,0.475,0.2077,0.6317,0.3045,0.8429,0.0604,0.8353,0.0657,1
LogisticRegression,0.5053,0.1104,0.7,0.2693,0.4739,0.1926,0.7524,0.0791,0.8059,0.1104,1
DecisionTreeClassifier,0.485,0.2602,0.45,0.2915,0.6595,0.3614,0.8333,0.0832,0.7125,0.1612,1
GaussianNB,0.3581,0.0996,0.625,0.1677,0.2537,0.0774,0.5714,0.0852,0.6779,0.125,1
RandomForestClassifier,0.3462,0.2653,0.275,0.2358,0.5667,0.4163,0.8381,0.0486,0.8868,0.0406,1
GaussianProcessClassifier,0.3171,0.2472,0.3,0.2449,0.3667,0.3122,0.7905,0.0571,0.6588,0.1962,1
KNeighborsClassifier,0.3074,0.2383,0.25,0.2236,0.475,0.369,0.8286,0.0381,0.7647,0.1362,1
GradientBoostingClassifier,0.3048,0.2805,0.275,0.261,0.35,0.3136,0.8048,0.0655,0.7868,0.1,1
AdaBoostClassifier,0.2724,0.2636,0.2,0.2179,0.5,0.4472,0.8381,0.0436,0.8779,0.0489,1
BernoulliNB,0.236,0.2258,0.2,0.1871,0.3367,0.3713,0.781,0.0646,0.6559,0.144,1
ExtraTreesClassifier,0.2057,0.2813,0.15,0.2291,0.4,0.4899,0.8333,0.0488,0.9015,0.0432,1
SVC,0.1467,0.2344,0.1,0.1658,0.3,0.4583,0.8143,0.0497,0.7588,0.1985,1
BaggingClassifier,0.04,0.12,0.025,0.075,0.1,0.3,0.8143,0.0143,0.864,0.0718,1
