,precision,recall,f1,roc_auc,accuracy,stage
LogisticRegression,0.4146,0.425,0.4198,0.7479,0.7762,1
DecisionTreeClassifier,0.4242,0.35,0.3836,0.6989,0.7857,1
SVC,0.4583,0.275,0.3437,0.7004,0.8,1
BernoulliNB,0.4286,0.225,0.2951,0.7165,0.7952,1
GaussianProcessClassifier,0.3,0.15,0.2,0.4976,0.7714,1
XGBClassifier,0.8,0.1,0.1778,0.755,0.8238,1
GradientBoostingClassifier,0.4286,0.075,0.1277,0.7269,0.8048,1
ExtraTreesClassifier,0.5,0.025,0.0476,0.8041,0.8095,1
RandomForestClassifier,0.25,0.025,0.0455,0.7762,0.8,1
KNeighborsClassifier,0.0,0.0,0.0,0.6046,0.8095,1
GaussianNB,0.0,0.0,0.0,0.6365,0.8095,1
AdaBoostClassifier,0.0,0.0,0.0,0.7221,0.8,1
BaggingClassifier,0.0,0.0,0.0,0.7508,0.8048,1
