,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
RandomForestClassifier,0.641,0.1386,0.6033,0.1882,0.7659,0.2063,0.9282,0.0301,0.9402,0.0492,2
XGBClassifier,0.6338,0.1592,0.6033,0.1729,0.7238,0.2415,0.9225,0.039,0.9358,0.0403,2
DecisionTreeClassifier,0.5875,0.2789,0.6967,0.3132,0.5226,0.277,0.9017,0.0584,0.8828,0.0866,2
ExtraTreesClassifier,0.5811,0.1631,0.53,0.1991,0.7493,0.2241,0.9206,0.0313,0.9448,0.0448,2
GradientBoostingClassifier,0.58,0.2515,0.5467,0.2553,0.6431,0.2876,0.9243,0.0349,0.9238,0.0526,2
SVC,0.4888,0.1552,0.8167,0.232,0.3587,0.1307,0.811,0.0669,0.8985,0.0722,2
BernoulliNB,0.487,0.1371,0.7167,0.2146,0.3781,0.1172,0.8374,0.0424,0.8741,0.0546,2
GaussianProcessClassifier,0.4491,0.1328,0.3767,0.1193,0.5783,0.1955,0.8999,0.0222,0.8684,0.0464,2
KNeighborsClassifier,0.4408,0.2194,0.3533,0.1707,0.6233,0.3551,0.9035,0.0334,0.871,0.0706,2
LogisticRegression,0.4363,0.0929,0.8433,0.1283,0.2964,0.0743,0.7561,0.0534,0.8599,0.0655,2
BaggingClassifier,0.3908,0.1612,0.3233,0.1687,0.5883,0.2494,0.896,0.0258,0.8384,0.0859,2
GaussianNB,0.3481,0.1755,0.2933,0.1843,0.5155,0.2547,0.8885,0.0284,0.8855,0.0445,2
AdaBoostClassifier,0.0,0.0,0.0,0.0,0.0,0.0,0.8904,0.0072,0.8164,0.0764,2
