,f1,std_f1,recall,std_recall,precision,std_precision,accuracy,std_accuracy,roc_auc,std_roc_auc,stage
AdaBoostClassifier,0.5795,0.183,0.6,0.2291,0.6288,0.2397,0.8381,0.0713,0.7471,0.1178,2
XGBClassifier,0.5679,0.1631,0.5,0.1581,0.675,0.1988,0.8571,0.0522,0.8426,0.0631,2
BaggingClassifier,0.557,0.1703,0.55,0.2179,0.6467,0.2526,0.8381,0.0646,0.7684,0.1206,2
RandomForestClassifier,0.5376,0.2449,0.475,0.2358,0.6833,0.3266,0.8524,0.0721,0.8375,0.0718,2
GradientBoostingClassifier,0.5169,0.2582,0.475,0.2839,0.6083,0.2839,0.8476,0.07,0.825,0.0938,2
ExtraTreesClassifier,0.5119,0.311,0.45,0.2915,0.6167,0.3559,0.8714,0.0565,0.8419,0.0705,2
LogisticRegression,0.498,0.1038,0.7,0.2179,0.3981,0.0642,0.7429,0.0436,0.8235,0.0747,2
SVC,0.4866,0.1382,0.575,0.225,0.4508,0.1267,0.7762,0.0675,0.7897,0.0811,2
GaussianNB,0.4295,0.2639,0.325,0.225,0.7167,0.3948,0.8619,0.0449,0.8206,0.0925,2
BernoulliNB,0.4229,0.2348,0.35,0.2291,0.6167,0.3189,0.8333,0.0648,0.7265,0.1555,2
GaussianProcessClassifier,0.421,0.3127,0.35,0.2784,0.5667,0.3887,0.8429,0.0769,0.7588,0.112,2
KNeighborsClassifier,0.4169,0.3243,0.35,0.3,0.5917,0.4191,0.8571,0.0602,0.7434,0.1272,2
DecisionTreeClassifier,0.3453,0.1364,0.325,0.1953,0.4562,0.231,0.7905,0.0316,0.7125,0.0716,2
