id,title,freq,start,end,sa,category
RPI,Real Personal Income,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted Annual Rate,Income
W875RX1,Real personal income excluding current transfer receipts,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted Annual Rate,Income
DSPIC96,Real Disposable Personal Income,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Income
PIROA,Personal Income Receipts on Assets,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Income
PSAVERT,Personal Saving Rate,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted Annual Rate,Income
DPCERA3M086SBEA,Real personal consumption expenditures (chain-type quantity index),Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Consumption
UMCSENT,University of Michigan: Consumer Sentiment,Monthly,11/1/1952,11/1/2023,Not Seasonally Adjusted,Consumption
PCE,Personal Consumption Expenditures,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Consumption
W055RC1,Personal current taxes ,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted,Consumption
RETAIL,Retail Sales (DISCONTINUED),Monthly,1/1/1947,4/1/2001,Seasonally Adjusted,Retail
USASARTMISMEI,Sales: Retail Trade: Total Retail Trade: Volume for United States ,Monthly,1/1/1960,9/1/2023,Seasonally Adjusted,Retail
TOTALSA,Total Vehicle Sales ,Monthly,1/1/1976,11/1/2023,Seasonally Adjusted Annual Rate,Retail
HTRUCKSSAAR,Motor Vehicle Retail Sales: Heavy Weight Trucks ,Monthly,1/1/1967,11/1/2023,Seasonally Adjusted Annual Rate,Retail
DAUTOSAAR,Motor Vehicle Retail Sales: Domestic Autos,Monthly,1/1/1967,11/1/2023,Seasonally Adjusted Annual Rate,Retail
USASLRTCR03MLSAM,Sales: Retail Trade: Car Registration: Passenger Cars for United States,Monthly,1/1/1960,10/1/2023,Seasonally Adjusted,Retail
FAUTOSAAR,Motor Vehicle Retail Sales: Foreign Autos,Monthly,1/1/1967,11/1/2023,Seasonally Adjusted,Retail
CMRMTSPL,Real Manufacturing and Trade Industries Sales,Monthly,1/1/1967,10/1/2023,Seasonally Adjusted,Industrial Production
INDPRO,Industrial Production: Total Index,Monthly,1/1/1919,11/1/2023,Seasonally Adjusted,Industrial Production
IPFPNSS,Industrial Production: Final Products and Nonindustrial Supplies,Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Industrial Production
IPFINAL,Industrial Production: Final Products,Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Industrial Production
IPCONGD,Industrial Production: Consumer Goods,Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Industrial Production
IPDCONGD,Industrial Production: Durable Consumer Goods,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Industrial Production
IPNCONGD,Industrial Production: Non-Durable Consumer Goods,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Industrial Production
IPBUSEQ,Industrial Production: Equipment: Business Equipment,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Industrial Production
IPMAT,Industrial Production: Materials,Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Industrial Production
IPDMAT,Industrial Production: Durable Goods Materials,Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Industrial Production
IPNMAT,Industrial Production: Non-Durable Goods Materials,Monthly,1/1/1954,11/1/2023,Seasonally Adjusted,Industrial Production
IPMANSICS,Industrial Production: Manufacturing (SIC),Monthly,1/1/1919,11/1/2023,Seasonally Adjusted,Industrial Production
IPB51222S,Industrial Production: Non-Durable Consumer Energy Products: Residential Utilities,Monthly,1/1/1954,11/1/2023,Seasonally Adjusted,Industrial Production
IPFUELS,Industrial Production: Non-Durable Consumer Energy Products: Fuels,Monthly,1/1/1954,11/1/2023,Seasonally Adjusted,Industrial Production
CUMFNS,Capacity Utilization: Manufacturing (SIC),Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Industrial Production
IPX4HTMVS,Industrial Production: Manufacturing Excluding Hi-Tech and Motor Vehicles & Parts ,Monthly,1/1/1972,11/1/2023,Seasonally Adjusted,Industrial Production
USALOLITONOSTSAM,Leading Indicators OECD: Leading Indicators: Composite Leading Indicator: Normalised for United States,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOLITOAASTSAM,Leading Indicators OECD: Leading Indicators: Composite Leading Indicator: Amplitude Adjusted for United States,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOLITOTRSTSAM,Leading Indicators OECD: Leading Indicators: Composite Leading Indicator: Trend Restored for United States,Monthly,1/1/1960,8/1/2023,Seasonally Adjusted,Leading Indicator
USALOLITOTRGYSAM,Leading Indicators OECD: Leading Indicators: Composite Leading Indicator: Trend Restored for United States ,Monthly,1/1/1960,8/1/2023,Seasonally Adjusted,Leading Indicator
USALORSGPNOSTSAM,Leading Indicators OECD: Reference Series: Gross Domestic Product (GDP): Normalised for United States ,Monthly,1/1/1960,8/1/2023,Seasonally Adjusted,Leading Indicator
USALORSGPTDSTSAM,Leading Indicators OECD: Reference Series: Gross Domestic Product (GDP): Trend for United States,Monthly,1/1/1960,8/1/2023,Seasonally Adjusted,Leading Indicator
USALORSGPRTSTSAM,Leading Indicators OECD: Reference Series: Gross Domestic Product (GDP): Ratio to Trend for United States ,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOBSNOSTSAM,Leading Indicators OECD: Component Series: Business Tendencies Survey: Business Situation: Normalised for United States ,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOBSORSTSAM,Leading Indicators OECD: Component Series: Business Tendencies Survey: Business Situation: Original Series for United States,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOCINOSTSAM,Leading Indicators OECD: Component Series: Confidence Indicator: Normalised for United States ,Monthly,1/1/1978,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOCIORSTSAM,Leading Indicators OECD: Component Series: Confidence Indicator: Original Series for United States ,Monthly,1/1/1978,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOSINOSTSAM,Leading Indicators OECD: Component Series: Interest Rate Spread: Normalised for United States ,Monthly,1/1/1960,10/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOSIORSTM,Leading Indicators OECD: Component Series: Interest Rate Spread: Original Series for United States ,Monthly,1/1/1960,10/1/2023,Seasonally Adjusted,Leading Indicator
USALOCODWNOSTSAM,Leading Indicators OECD: Component Series: Construction: Normalised for United States ,Monthly,1/1/1960,10/1/2023,Seasonally Adjusted,Leading Indicator
USALOCODWORMLSAM,Leading Indicators OECD: Component Series: Construction: Original Series for United States ,Monthly,1/1/1960,10/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOSPNOSTSAM,Leading Indicators OECD: Component Series: Share Prices: Normalised for United States,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOSPORIXOBM,Leading Indicators OECD: Component Series: Share Prices: Original Series for United States,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOODNOSTSAM,Leading Indicators OECD: Component Series: Orders: Normalised for United States ,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOODORNCMLSAM,Leading Indicators OECD: Component Series: Orders: Original Series for United States ,Monthly,1/1/1960,10/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOHSNOSTSAM,Leading Indicators OECD: Component Series: Hours: Normalised for United States,Monthly,1/1/1960,11/1/2023,Seasonally Adjusted,Leading Indicator
USALOCOHSORSTSAM,Leading Indicators OECD: Component Series: Hours: Original Series for United States ,Monthly,1/1/1960,10/1/2023,Seasonally Adjusted,Leading Indicator
SAHMREALTIME,Real-time Sahm Rule Recession Indicator ,Monthly,12/1/1959,11/1/2023,Seasonally Adjusted,Recession 
SAHMCURRENT,Sahm Rule Recession Indicator,Monthly,3/1/1949,11/1/2023,Seasonally Adjusted,Recession 
RECPROUSM156N,Smoothed U.S. Recession Probabilities,Monthly,6/1/1967,10/1/2023,Not Seasonally Adjusted,Recession 
CLF16OV,Civilian Labor Force Level,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
CE16OV,Employment Level,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
UNRATE,Unemployment Rate,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
UEMPMEAN,Average Weeks Unemployed,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
UEMPLT5,Number Unemployed for Less Than 5 Weeks,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
UEMP5TO14,Number Unemployed for 5-14 Weeks,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
UEMP15OV,Number Unemployed for 15 Weeks & over,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
UEMP15T26,Number Unemployed for 15-26 Weeks,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
UEMP27OV,Number Unemployed for 27 Weeks & over,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
PAYEMS,"All Employees, Total Nonfarm",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
USGOOD,"All Employees, Goods-Producing",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
CES1021000001,"All Employees, Mining, Quarrying, and Oil and Gas Extraction",Monthly,1/1/1958,11/1/2023,Seasonally Adjusted,Labor Market
USCONS,"All Employees, Construction",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
MANEMP,"All Employees, Manufacturing",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
DMANEMP,"All Employees, Durable Goods",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
NDMANEMP,"All Employees, Nondurable Goods",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
SRVPRD,"All Employees, Service-Providing",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
USTPU,"All Employees, Trade, Transportation, and Utilities",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
USWTRADE,"All Employees, Wholesale Trade",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
USTRADE,"All Employees, Retail Trade",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
USFIRE,"All Employees, Financial Activities",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
USGOVT,"All Employees, Government",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
CES0600000007,"Average Weekly Hours of Production and Nonsupervisory Employees, Goods-Producing",Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Labor Market
CES0600000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing",Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Labor Market
CES2000000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Construction",Monthly,1/1/1947,11/1/2023,Seasonally Adjusted,Labor Market
CES3000000008,"Average Hourly Earnings of Production and Nonsupervisory Employees, Manufacturing",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
AWOTMAN,"Average Weekly Overtime Hours of Production and Nonsupervisory Employees, Manufacturing",Monthly,1/1/1956,11/1/2023,Seasonally Adjusted,Labor Market
AWHMAN,"Average Weekly Hours of Production and Nonsupervisory Employees, Manufacturing",Monthly,1/1/1939,11/1/2023,Seasonally Adjusted,Labor Market
CIVPART,Labor Force Participation Rate ,Monthly,1/1/1948,11/1/2023,Seasonally Adjusted,Labor Market
HOUST,New Privately-Owned Housing Units Started: Total Units,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted Annual Rate,Housing
HOUSTNE,New Privately-Owned Housing Units Started: Total Units in the Northeast Census Region,Monthly,1/1/1959,11/1/2023,Seasonally Adjusted Annual Rate,Housing
